load_zone,stage_id,timepoint,load_mw
Zone1,1,2020010101,638.4896713
Zone1,1,2020010102,624.5328518
Zone1,1,2020010103,619.763698
Zone1,1,2020010104,626.852784
Zone1,1,2020010105,635.9765644
Zone1,1,2020010106,651.2520855
Zone1,1,2020010107,671.7468485
Zone1,1,2020010108,691.9082555
Zone1,1,2020010109,706.8968851
Zone1,1,2020010110,717.6946624
Zone1,1,2020010111,717.1343895
Zone1,1,2020010112,708.9337533
Zone1,1,2020010113,697.5036592
Zone1,1,2020010114,687.4755378
Zone1,1,2020010115,677.9943397
Zone1,1,2020010116,670.4977531
Zone1,1,2020010117,671.8038638
Zone1,1,2020010118,677.1840051
Zone1,1,2020010119,680.2243741
Zone1,1,2020010120,681.6161458
Zone1,1,2020010121,677.3821679
Zone1,1,2020010122,661.8180054
Zone1,1,2020010123,642.0636962
Zone1,1,2020010124,626.0356411
Zone1,1,2020010201,638.4896713
Zone1,1,2020010202,624.5328518
Zone1,1,2020010203,619.763698
Zone1,1,2020010204,626.852784
Zone1,1,2020010205,635.9765644
Zone1,1,2020010206,651.2520855
Zone1,1,2020010207,671.7468485
Zone1,1,2020010208,691.9082555
Zone1,1,2020010209,706.8968851
Zone1,1,2020010210,717.6946624
Zone1,1,2020010211,717.1343895
Zone1,1,2020010212,708.9337533
Zone1,1,2020010213,697.5036592
Zone1,1,2020010214,687.4755378
Zone1,1,2020010215,677.9943397
Zone1,1,2020010216,670.4977531
Zone1,1,2020010217,671.8038638
Zone1,1,2020010218,677.1840051
Zone1,1,2020010219,680.2243741
Zone1,1,2020010220,681.6161458
Zone1,1,2020010221,677.3821679
Zone1,1,2020010222,661.8180054
Zone1,1,2020010223,642.0636962
Zone1,1,2020010224,626.0356411
Zone1,1,2020010301,638.4896713
Zone1,1,2020010302,624.5328518
Zone1,1,2020010303,619.763698
Zone1,1,2020010304,626.852784
Zone1,1,2020010305,635.9765644
Zone1,1,2020010306,651.2520855
Zone1,1,2020010307,671.7468485
Zone1,1,2020010308,691.9082555
Zone1,1,2020010309,706.8968851
Zone1,1,2020010310,717.6946624
Zone1,1,2020010311,717.1343895
Zone1,1,2020010312,708.9337533
Zone1,1,2020010313,697.5036592
Zone1,1,2020010314,687.4755378
Zone1,1,2020010315,677.9943397
Zone1,1,2020010316,670.4977531
Zone1,1,2020010317,671.8038638
Zone1,1,2020010318,677.1840051
Zone1,1,2020010319,680.2243741
Zone1,1,2020010320,681.6161458
Zone1,1,2020010321,677.3821679
Zone1,1,2020010322,661.8180054
Zone1,1,2020010323,642.0636962
Zone1,1,2020010324,626.0356411
Zone1,1,2020010401,638.4896713
Zone1,1,2020010402,624.5328518
Zone1,1,2020010403,619.763698
Zone1,1,2020010404,626.852784
Zone1,1,2020010405,635.9765644
Zone1,1,2020010406,651.2520855
Zone1,1,2020010407,671.7468485
Zone1,1,2020010408,691.9082555
Zone1,1,2020010409,706.8968851
Zone1,1,2020010410,717.6946624
Zone1,1,2020010411,717.1343895
Zone1,1,2020010412,708.9337533
Zone1,1,2020010413,697.5036592
Zone1,1,2020010414,687.4755378
Zone1,1,2020010415,677.9943397
Zone1,1,2020010416,670.4977531
Zone1,1,2020010417,671.8038638
Zone1,1,2020010418,677.1840051
Zone1,1,2020010419,680.2243741
Zone1,1,2020010420,681.6161458
Zone1,1,2020010421,677.3821679
Zone1,1,2020010422,661.8180054
Zone1,1,2020010423,642.0636962
Zone1,1,2020010424,626.0356411
Zone1,1,2020010501,638.4896713
Zone1,1,2020010502,624.5328518
Zone1,1,2020010503,619.763698
Zone1,1,2020010504,626.852784
Zone1,1,2020010505,635.9765644
Zone1,1,2020010506,651.2520855
Zone1,1,2020010507,671.7468485
Zone1,1,2020010508,691.9082555
Zone1,1,2020010509,706.8968851
Zone1,1,2020010510,717.6946624
Zone1,1,2020010511,717.1343895
Zone1,1,2020010512,708.9337533
Zone1,1,2020010513,697.5036592
Zone1,1,2020010514,687.4755378
Zone1,1,2020010515,677.9943397
Zone1,1,2020010516,670.4977531
Zone1,1,2020010517,671.8038638
Zone1,1,2020010518,677.1840051
Zone1,1,2020010519,680.2243741
Zone1,1,2020010520,681.6161458
Zone1,1,2020010521,677.3821679
Zone1,1,2020010522,661.8180054
Zone1,1,2020010523,642.0636962
Zone1,1,2020010524,626.0356411
Zone1,1,2020010601,638.4896713
Zone1,1,2020010602,624.5328518
Zone1,1,2020010603,619.763698
Zone1,1,2020010604,626.852784
Zone1,1,2020010605,635.9765644
Zone1,1,2020010606,651.2520855
Zone1,1,2020010607,671.7468485
Zone1,1,2020010608,691.9082555
Zone1,1,2020010609,706.8968851
Zone1,1,2020010610,717.6946624
Zone1,1,2020010611,717.1343895
Zone1,1,2020010612,708.9337533
Zone1,1,2020010613,697.5036592
Zone1,1,2020010614,687.4755378
Zone1,1,2020010615,677.9943397
Zone1,1,2020010616,670.4977531
Zone1,1,2020010617,671.8038638
Zone1,1,2020010618,677.1840051
Zone1,1,2020010619,680.2243741
Zone1,1,2020010620,681.6161458
Zone1,1,2020010621,677.3821679
Zone1,1,2020010622,661.8180054
Zone1,1,2020010623,642.0636962
Zone1,1,2020010624,626.0356411
Zone1,1,2020010701,638.4896713
Zone1,1,2020010702,624.5328518
Zone1,1,2020010703,619.763698
Zone1,1,2020010704,626.852784
Zone1,1,2020010705,635.9765644
Zone1,1,2020010706,651.2520855
Zone1,1,2020010707,671.7468485
Zone1,1,2020010708,691.9082555
Zone1,1,2020010709,706.8968851
Zone1,1,2020010710,717.6946624
Zone1,1,2020010711,717.1343895
Zone1,1,2020010712,708.9337533
Zone1,1,2020010713,697.5036592
Zone1,1,2020010714,687.4755378
Zone1,1,2020010715,677.9943397
Zone1,1,2020010716,670.4977531
Zone1,1,2020010717,671.8038638
Zone1,1,2020010718,677.1840051
Zone1,1,2020010719,680.2243741
Zone1,1,2020010720,681.6161458
Zone1,1,2020010721,677.3821679
Zone1,1,2020010722,661.8180054
Zone1,1,2020010723,642.0636962
Zone1,1,2020010724,626.0356411
Zone1,1,2020010801,638.4896713
Zone1,1,2020010802,624.5328518
Zone1,1,2020010803,619.763698
Zone1,1,2020010804,626.852784
Zone1,1,2020010805,635.9765644
Zone1,1,2020010806,651.2520855
Zone1,1,2020010807,671.7468485
Zone1,1,2020010808,691.9082555
Zone1,1,2020010809,706.8968851
Zone1,1,2020010810,717.6946624
Zone1,1,2020010811,717.1343895
Zone1,1,2020010812,708.9337533
Zone1,1,2020010813,697.5036592
Zone1,1,2020010814,687.4755378
Zone1,1,2020010815,677.9943397
Zone1,1,2020010816,670.4977531
Zone1,1,2020010817,671.8038638
Zone1,1,2020010818,677.1840051
Zone1,1,2020010819,680.2243741
Zone1,1,2020010820,681.6161458
Zone1,1,2020010821,677.3821679
Zone1,1,2020010822,661.8180054
Zone1,1,2020010823,642.0636962
Zone1,1,2020010824,626.0356411
Zone1,1,2020010901,638.4896713
Zone1,1,2020010902,624.5328518
Zone1,1,2020010903,619.763698
Zone1,1,2020010904,626.852784
Zone1,1,2020010905,635.9765644
Zone1,1,2020010906,651.2520855
Zone1,1,2020010907,671.7468485
Zone1,1,2020010908,691.9082555
Zone1,1,2020010909,706.8968851
Zone1,1,2020010910,717.6946624
Zone1,1,2020010911,717.1343895
Zone1,1,2020010912,708.9337533
Zone1,1,2020010913,697.5036592
Zone1,1,2020010914,687.4755378
Zone1,1,2020010915,677.9943397
Zone1,1,2020010916,670.4977531
Zone1,1,2020010917,671.8038638
Zone1,1,2020010918,677.1840051
Zone1,1,2020010919,680.2243741
Zone1,1,2020010920,681.6161458
Zone1,1,2020010921,677.3821679
Zone1,1,2020010922,661.8180054
Zone1,1,2020010923,642.0636962
Zone1,1,2020010924,626.0356411
Zone1,1,2020011001,638.4896713
Zone1,1,2020011002,624.5328518
Zone1,1,2020011003,619.763698
Zone1,1,2020011004,626.852784
Zone1,1,2020011005,635.9765644
Zone1,1,2020011006,651.2520855
Zone1,1,2020011007,671.7468485
Zone1,1,2020011008,691.9082555
Zone1,1,2020011009,706.8968851
Zone1,1,2020011010,717.6946624
Zone1,1,2020011011,717.1343895
Zone1,1,2020011012,708.9337533
Zone1,1,2020011013,697.5036592
Zone1,1,2020011014,687.4755378
Zone1,1,2020011015,677.9943397
Zone1,1,2020011016,670.4977531
Zone1,1,2020011017,671.8038638
Zone1,1,2020011018,677.1840051
Zone1,1,2020011019,680.2243741
Zone1,1,2020011020,681.6161458
Zone1,1,2020011021,677.3821679
Zone1,1,2020011022,661.8180054
Zone1,1,2020011023,642.0636962
Zone1,1,2020011024,626.0356411
Zone1,1,2020011101,638.4896713
Zone1,1,2020011102,624.5328518
Zone1,1,2020011103,619.763698
Zone1,1,2020011104,626.852784
Zone1,1,2020011105,635.9765644
Zone1,1,2020011106,651.2520855
Zone1,1,2020011107,671.7468485
Zone1,1,2020011108,691.9082555
Zone1,1,2020011109,706.8968851
Zone1,1,2020011110,717.6946624
Zone1,1,2020011111,717.1343895
Zone1,1,2020011112,708.9337533
Zone1,1,2020011113,697.5036592
Zone1,1,2020011114,687.4755378
Zone1,1,2020011115,677.9943397
Zone1,1,2020011116,670.4977531
Zone1,1,2020011117,671.8038638
Zone1,1,2020011118,677.1840051
Zone1,1,2020011119,680.2243741
Zone1,1,2020011120,681.6161458
Zone1,1,2020011121,677.3821679
