subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020010101,2020,1,1,,,1,1,,20200101
1,1,2020010102,2020,1,1,,,1,2,,20200101
1,1,2020010103,2020,1,1,,,1,3,,20200101
1,1,2020010104,2020,1,1,,,1,4,,20200101
1,1,2020010105,2020,1,1,,,1,5,,20200101
1,1,2020010106,2020,1,1,,,1,6,,20200101
1,1,2020010107,2020,1,1,,,1,7,,20200101
1,1,2020010108,2020,1,1,,,1,8,,20200101
1,1,2020010109,2020,1,1,,,1,9,,20200101
1,1,2020010110,2020,1,1,,,1,10,,20200101
1,1,2020010111,2020,1,1,,,1,11,,20200101
1,1,2020010112,2020,1,1,,,1,12,,20200101
1,1,2020010113,2020,1,1,,,1,13,,20200101
1,1,2020010114,2020,1,1,,,1,14,,20200101
1,1,2020010115,2020,1,1,,,1,15,,20200101
1,1,2020010116,2020,1,1,,,1,16,,20200101
1,1,2020010117,2020,1,1,,,1,17,,20200101
1,1,2020010118,2020,1,1,,,1,18,,20200101
1,1,2020010119,2020,1,1,,,1,19,,20200101
1,1,2020010120,2020,1,1,,,1,20,,20200101
1,1,2020010121,2020,1,1,,,1,21,,20200101
1,1,2020010122,2020,1,1,,,1,22,,20200101
1,1,2020010123,2020,1,1,,,1,23,,20200101
1,1,2020010124,2020,1,1,,,1,24,,20200101
2,1,2020010201,2020,1,1,,,1,1,,20200102
2,1,2020010202,2020,1,1,,,1,2,,20200102
2,1,2020010203,2020,1,1,,,1,3,,20200102
2,1,2020010204,2020,1,1,,,1,4,,20200102
2,1,2020010205,2020,1,1,,,1,5,,20200102
2,1,2020010206,2020,1,1,,,1,6,,20200102
2,1,2020010207,2020,1,1,,,1,7,,20200102
2,1,2020010208,2020,1,1,,,1,8,,20200102
2,1,2020010209,2020,1,1,,,1,9,,20200102
2,1,2020010210,2020,1,1,,,1,10,,20200102
2,1,2020010211,2020,1,1,,,1,11,,20200102
2,1,2020010212,2020,1,1,,,1,12,,20200102
2,1,2020010213,2020,1,1,,,1,13,,20200102
2,1,2020010214,2020,1,1,,,1,14,,20200102
2,1,2020010215,2020,1,1,,,1,15,,20200102
2,1,2020010216,2020,1,1,,,1,16,,20200102
2,1,2020010217,2020,1,1,,,1,17,,20200102
2,1,2020010218,2020,1,1,,,1,18,,20200102
2,1,2020010219,2020,1,1,,,1,19,,20200102
2,1,2020010220,2020,1,1,,,1,20,,20200102
2,1,2020010221,2020,1,1,,,1,21,,20200102
2,1,2020010222,2020,1,1,,,1,22,,20200102
2,1,2020010223,2020,1,1,,,1,23,,20200102
2,1,2020010224,2020,1,1,,,1,24,,20200102
3,1,2020010301,2020,1,1,,,1,1,,20200103
3,1,2020010302,2020,1,1,,,1,2,,20200103
3,1,2020010303,2020,1,1,,,1,3,,20200103
3,1,2020010304,2020,1,1,,,1,4,,20200103
3,1,2020010305,2020,1,1,,,1,5,,20200103
3,1,2020010306,2020,1,1,,,1,6,,20200103
3,1,2020010307,2020,1,1,,,1,7,,20200103
3,1,2020010308,2020,1,1,,,1,8,,20200103
3,1,2020010309,2020,1,1,,,1,9,,20200103
3,1,2020010310,2020,1,1,,,1,10,,20200103
3,1,2020010311,2020,1,1,,,1,11,,20200103
3,1,2020010312,2020,1,1,,,1,12,,20200103
3,1,2020010313,2020,1,1,,,1,13,,20200103
3,1,2020010314,2020,1,1,,,1,14,,20200103
3,1,2020010315,2020,1,1,,,1,15,,20200103
3,1,2020010316,2020,1,1,,,1,16,,20200103
3,1,2020010317,2020,1,1,,,1,17,,20200103
3,1,2020010318,2020,1,1,,,1,18,,20200103
3,1,2020010319,2020,1,1,,,1,19,,20200103
3,1,2020010320,2020,1,1,,,1,20,,20200103
3,1,2020010321,2020,1,1,,,1,21,,20200103
3,1,2020010322,2020,1,1,,,1,22,,20200103
3,1,2020010323,2020,1,1,,,1,23,,20200103
3,1,2020010324,2020,1,1,,,1,24,,20200103
4,1,2020010401,2020,1,1,,,1,1,,20200104
4,1,2020010402,2020,1,1,,,1,2,,20200104
4,1,2020010403,2020,1,1,,,1,3,,20200104
4,1,2020010404,2020,1,1,,,1,4,,20200104
4,1,2020010405,2020,1,1,,,1,5,,20200104
4,1,2020010406,2020,1,1,,,1,6,,20200104
4,1,2020010407,2020,1,1,,,1,7,,20200104
4,1,2020010408,2020,1,1,,,1,8,,20200104
4,1,2020010409,2020,1,1,,,1,9,,20200104
